time,latitude,longitude,depth,magnitude,place
2024-02-16 14:54:59.468,37.5121,72.1269,,4.1,"50 km E of Khorugh, Tajikistan"
2024-02-16 13:47:16.541,38.6744,73.5447,95.989,4.4,"67 km NNW of Murghob, Tajikistan"
2024-02-15 06:28:54.000,41.2675,78.7249,2.293,4.2,"123 km WNW of Aykol, China"
2024-02-15 04:32:57.423,41.1342,78.4597,,4.3,"139 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-02-15 03:52:40.420,41.3229,78.7906,10.0,,"119 km WNW of Aykol, China"
2024-02-15 03:41:35.662,41.1494,78.5313,,4.5,"136 km W of Aykol, China"
2024-02-12 15:52:52.039,41.3413,78.7151,10.0,4.1,"125 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-02-12 04:34:21.733,41.3348,78.5109,10.0,4.2,"119 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-02-12 04:12:15.932,38.3258,73.7827,146.784,4.0,"23 km NW of Murghob, Tajikistan"
2024-02-11 04:57:13.159,41.3079,78.7072,10.0,4.9,"126 km WNW of Aykol, China"
2024-02-11 03:03:36.845,41.2608,78.776,10.0,4.3,"119 km WNW of Aykol, China"
2024-02-08 23:17:18.366,37.5605,72.2609,190.84,4.1,"63 km E of Khorugh, Tajikistan"
2024-02-08 14:29:14.737,37.8837,71.7005,,4.5,"45 km NNE of Khorugh, Tajikistan"
2024-02-07 08:55:30.447,41.1682,78.4703,10.0,4.2,"135 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-02-06 01:49:29.855,41.2212,78.573,,4.0,"133 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-02-04 11:36:42.442,38.5803,73.8415,109.752,4.1,"46 km NNW of Murghob, Tajikistan"
2024-02-04 01:18:58.257,41.1733,78.7218,10.0,,"121 km W of Aykol, China"
2024-02-03 22:15:19.454,41.2674,78.7029,10.0,4.0,"125 km WNW of Aykol, China"
2024-02-03 18:02:31.100,41.197,78.6497,10.0,4.5,"127 km WNW of Aykol, China"
2024-02-03 16:34:46.983,41.1801,78.6697,10.0,4.6,"125 km W of Aykol, China"
2024-02-03 13:44:38.438,41.1787,78.627,10.0,4.8,"129 km W of Aykol, China"
2024-02-03 13:26:27.753,41.223,78.6354,10.0,4.5,"129 km WNW of Aykol, China"
2024-02-03 08:36:29.913,41.2418,78.5936,,4.9,"131 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-02-01 09:43:43.986,38.3846,73.9207,133.724,4.0,"24 km N of Murghob, Tajikistan"
2024-01-31 19:21:27.249,41.3442,78.7416,10.0,4.1,"124 km WNW of Aykol, China"
2024-01-31 05:13:03.094,41.3376,78.8286,4.018,4.1,"117 km WNW of Aykol, China"
2024-01-30 15:45:14.561,38.2592,72.9547,54.15,4.4,"89 km W of Murghob, Tajikistan"
2024-01-30 03:52:35.738,41.1648,78.625,10.0,4.2,"129 km W of Aykol, China"
2024-01-30 03:45:08.552,41.164,78.6356,10.0,4.0,"128 km W of Aykol, China"
2024-01-30 01:44:58.324,41.2507,78.7221,10.0,4.3,"123 km WNW of Aykol, China"
2024-01-29 23:30:55.043,41.2933,78.5831,10.0,4.3,"125 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-29 23:17:07.455,41.2469,78.6747,6.662,4.5,"126 km WNW of Aykol, China"
2024-01-29 22:27:41.948,41.1985,78.6388,10.0,5.7,"128 km WNW of Aykol, China"
2024-01-29 21:03:23.919,41.2526,78.6898,,4.3,"125 km WNW of Aykol, China"
2024-01-29 06:06:28.528,37.5164,72.1868,203.403,4.3,"56 km E of Khorugh, Tajikistan"
2024-01-29 04:21:49.933,41.2794,78.6936,,3.9,"126 km WNW of Aykol, China"
2024-01-29 04:05:22.147,41.2492,78.6756,10.0,4.2,"126 km WNW of Aykol, China"
2024-01-29 01:51:37.122,40.9964,78.7719,10.0,4.0,"114 km W of Aykol, China"
2024-01-28 09:52:17.740,41.2577,78.4857,8.893,,"126 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-27 09:03:04.008,41.2019,78.6244,10.0,4.6,"129 km WNW of Aykol, China"
2024-01-27 05:29:26.103,42.3798,80.3352,10.0,4.3,"115 km SE of Kegen, Kazakhstan"
2024-01-27 05:28:45.074,38.7612,70.392,16.13,4.5,"29 km S of Rasht, Tajikistan"
2024-01-27 00:37:21.777,41.152,78.537,10.0,4.1,"136 km W of Aykol, China"
